Sqrt_NAV,Log_ONU,Nav Per Unit,Sale Price per Unit,Repurchase Price/Unit,Year,Month,Day,Weekday,Target_NAV
567929.4601597103,21.756665619348436,114.7596,114.7596,114.7596,2022,12,30,4,466188.84639119153
567627.8410036544,21.75587602299857,114.7283,114.7283,114.7283,2022,12,29,3,466239.8641674047
567662.0345764811,21.75627223519742,114.6966,114.6966,114.6966,2022,12,28,2,465341.83769957756
566577.7345398158,21.7536006784791,114.5646,114.5646,114.5646,2022,12,27,1,465884.0860201065
565065.7980633848,21.749350164619354,114.4393,114.4393,114.4393,2022,12,23,4,465076.3004548931
564706.8140238349,21.748354611168523,114.4078,114.4078,114.4078,2022,12,22,3,464507.76730800746
563214.2743108966,21.74360012710819,114.3462,114.3462,114.3462,2022,12,20,1,464575.85242420854
562443.0402718928,21.741131065824373,114.3152,114.3152,114.3152,2022,12,19,0,463838.17369341216
561878.9940384763,21.739934077628536,114.2226,114.2226,114.2226,2022,12,16,4,463068.41539625655
556766.1688090791,21.72191702485257,114.1923,114.1923,114.1923,2022,12,15,3,461890.72003443626
556648.0038627103,21.721766489853195,114.1611,114.1611,114.1611,2022,12,14,2,461408.04217123264
556020.79792693,21.719782410261935,114.1302,114.1302,114.1302,2022,12,13,1,460828.3250944
554899.7582672838,21.716021876956948,114.0987,114.0987,114.0987,2022,12,12,0,460075.7836211334
554209.5557301138,21.714616546034776,113.9751,113.9751,113.9751,2022,12,8,3,459355.0317146858
553548.3914063611,21.712499783636034,113.9442,113.9442,113.9442,2022,12,7,2,458562.7359279862
552748.142179284,21.709879553394767,113.9131,113.9131,113.9131,2022,12,6,1,456208.81166618207
552187.656897499,21.708124648496252,113.8819,113.8819,113.8819,2022,12,5,0,455115.0222400706
549857.9843481133,21.70048959973285,113.7885,113.7885,113.7885,2022,12,2,4,456275.5973303306
548935.5824805858,21.69740775763651,113.757,113.757,113.757,2022,12,1,3,454457.6000255249
550781.025107111,21.69563062511287,114.7269,114.7269,114.7269,2022,11,30,2,453807.55961647443
550367.2635805113,21.694399165157254,114.6958,114.6958,114.6958,2022,11,29,1,453398.4962086994
548904.3491120925,21.68936708425455,114.6624,114.6624,114.6624,2022,11,28,0,453059.645126533
548312.7250677664,21.688033244619557,114.568,114.568,114.568,2022,11,25,4,452337.5344896331
547733.4515298203,21.686193862941703,114.5366,114.5366,114.5366,2022,11,24,3,451085.0265561693
546929.1858273061,21.683529666867205,114.5051,114.5051,114.5051,2022,11,23,2,450413.9339995156
546419.4488016051,21.681935323951972,114.4742,114.4742,114.4742,2022,11,22,1,450003.3028725678
545705.2039478183,21.679578366788938,114.4445,114.4445,114.4445,2022,11,21,0,450542.3242842896
545441.1060724704,21.679419014481027,114.352,114.352,114.352,2022,11,18,4,449929.4170056899
544701.9891160853,21.67697359862226,114.3215,114.3215,114.3215,2022,11,17,3,448494.4307925685
544106.196636686,21.676477651002084,114.1281,114.1281,114.1281,2022,11,16,2,447607.4020245197
544855.6738355764,21.67951233675488,114.096,114.096,114.096,2022,11,15,1,446521.684231382
544136.0430728147,21.677142823127266,114.0648,114.0648,114.0648,2022,11,14,0,446040.23596193653
543800.0186963587,21.676731185530073,113.9708,113.9708,113.9708,2022,11,11,4,445280.36329279107
543311.98989333,21.67520465813107,113.9402,113.9402,113.9402,2022,11,10,3,444380.88268281746
542667.6770960197,21.67310363260617,113.9091,113.9091,113.9091,2022,11,9,2,443333.05873988237
541801.6616428746,21.670182012871212,113.8781,113.8781,113.8781,2022,11,8,1,441415.371952858
540647.5692428016,21.66618418574049,113.8477,113.8477,113.8477,2022,11,7,0,440720.2809315677
540005.5078530589,21.66462209489445,113.755,113.755,113.755,2022,11,4,4,441903.1451437747
537342.9684052449,21.65501229338227,113.7237,113.7237,113.7237,2022,11,3,3,441278.7160705578
536756.2941661606,21.653102222806226,113.6924,113.6924,113.6924,2022,11,2,2,439116.3127840846
536373.3010683791,21.65194119101459,113.6621,113.6621,113.6621,2022,11,1,1,438371.0782834447
537747.0416167345,21.648570129160024,114.6308,114.6308,114.6308,2022,10,31,0,437263.81447660405
537150.7798673107,21.647168698507734,114.5372,114.5372,114.5372,2022,10,28,4,437024.2596308585
536476.0045518532,21.644926471848986,114.5061,114.5061,114.5061,2022,10,27,3,436505.74281328765
535905.0751778434,21.644390624324377,114.3237,114.3237,114.3237,2022,10,26,2,435529.2692775883
535803.9827684561,21.64428745889198,114.2924,114.2924,114.2924,2022,10,25,1,434056.7273722295
535074.2246423108,21.641834981665628,114.2611,114.2611,114.2611,2022,10,24,0,433184.1419514223
534105.8664359904,21.63903387904206,114.1673,114.1673,114.1673,2022,10,21,4,433083.5395405025
532273.5198907419,21.63297650601236,114.0742,114.0742,114.0742,2022,10,18,1,432003.3057597592
530925.5819961777,21.628178372356313,114.043,114.043,114.043,2022,10,17,0,431079.6714686741
530328.7137163044,21.627016018591714,113.9191,113.9191,113.9191,2022,10,13,3,430047.4447929438
529338.7610716411,21.62355109222223,113.8881,113.8881,113.8881,2022,10,12,2,429312.5446105669
528617.5707046447,21.62109694390084,113.8571,113.8571,113.8571,2022,10,11,1,425849.4129422043
527636.200626786,21.617653757961982,113.826,113.826,113.826,2022,10,10,0,423278.7720426102
526903.9506630122,21.61570006758166,113.7323,113.7323,113.7323,2022,10,7,4,424437.1350670674
526494.5185282844,21.614420525239204,113.701,113.701,113.701,2022,10,6,3,423317.7187233249
525865.334814342,21.612304051929282,113.6697,113.6697,113.6697,2022,10,5,2,421990.55885629717
523762.1144814123,21.604559394548893,113.639,113.639,113.639,2022,10,4,1,421206.2495088718
522280.04063553875,21.59919644803688,113.6044,113.6044,113.6044,2022,10,3,0,419825.153249314
524408.2026069767,21.599509934464248,114.4962,114.4962,114.4962,2022,9,30,4,418380.20336853893
523906.32173633866,21.597881132305606,114.4634,114.4634,114.4634,2022,9,29,3,417047.0909738491
523243.994428842,21.595630609899853,114.4314,114.4314,114.4314,2022,9,28,2,416326.81713281455
522888.99771053705,21.594542745013815,114.4006,114.4006,114.4006,2022,9,27,1,421973.86616849864
521092.93704501505,21.590248790411994,114.1049,114.1049,114.1049,2022,9,26,0,420560.0554086895
513878.50303672947,21.56316718372998,114.0135,114.0135,114.0135,2022,9,23,4,419283.93791967514
513433.6769519993,21.561710627155424,113.9821,113.9821,113.9821,2022,9,22,3,418673.30982943013
512824.31939007144,21.5596118340142,113.9506,113.9506,113.9506,2022,9,21,2,418107.3032495845
512005.8144704999,21.556693318553922,113.9192,113.9192,113.9192,2022,9,20,1,416765.538441088
511577.4324922084,21.55529422954369,113.8879,113.8879,113.8879,2022,9,19,0,414648.3523658571
510773.6571956506,21.552975863006065,113.7938,113.7938,113.7938,2022,9,16,4,421868.42078802246
510044.8580895606,21.55040085132075,113.7618,113.7618,113.7618,2022,9,15,3,421963.27882363176
509128.9411021436,21.54708311183086,113.7303,113.7303,113.7303,2022,9,14,2,420291.65059296624
508615.08687890886,21.545341111628726,113.6988,113.6988,113.6988,2022,9,13,1,419340.6480382745
507652.4371777703,21.541829760360013,113.6672,113.6672,113.6672,2022,9,12,0,418731.1746222987
506925.868858998,21.539801863649846,113.5721,113.5721,113.5721,2022,9,9,4,417831.2158152739
506061.75484777545,21.536669810456146,113.5403,113.5403,113.5403,2022,9,8,3,416460.3661342577
505461.1226960982,21.534575370990414,113.5084,113.5084,113.5084,2022,9,7,2,414469.4239879825
504868.50073214114,21.53250686996243,113.4769,113.4769,113.4769,2022,9,6,1,414550.7213799296
504066.9016678441,21.529607329053466,113.4454,113.4454,113.4454,2022,9,5,0,413445.7059109334
501408.60624920466,21.519871420644602,113.3502,113.3502,113.3502,2022,9,2,4,412416.3833618762
499421.69649261335,21.512203885398012,113.3192,113.3192,113.3192,2022,9,1,3,410883.7713995163
501266.74290109257,21.511073667775673,114.2871,114.2871,114.2871,2022,8,31,2,409995.32741504506
500191.7995210437,21.50705289842288,114.2559,114.2559,114.2559,2022,8,30,1,408724.4255560218
498656.3364507063,21.501181487309147,114.2242,114.2242,114.2242,2022,8,29,0,407614.430857655
497762.93695012084,21.49843204282624,114.1287,114.1287,114.1287,2022,8,26,4,406993.57367749675
497006.66483900393,21.49567023529424,114.0968,114.0968,114.0968,2022,8,25,3,406489.6508410639
496431.038305614,21.493631541861205,114.065,114.065,114.065,2022,8,24,2,403779.4405091101
495563.67956337356,21.490687266404976,114.0019,114.0019,114.0019,2022,8,22,0,403163.1462977984
492677.5048267883,21.483417912390603,113.4999,113.4999,113.4999,2022,8,19,4,402613.4370772292
492779.12624435505,21.484118318275115,113.4673,113.4673,113.4673,2022,8,18,3,401641.9869710337
492358.7915761737,21.4829843341566,113.4023,113.4023,113.4023,2022,8,16,1,400988.7928162457
491307.2231946931,21.478992568351458,113.3701,113.3701,113.3701,2022,8,15,0,400040.6400197485
490409.1618472477,21.47617906928052,113.2742,113.2742,113.2742,2022,8,12,4,399912.4686596056
489917.948196124,21.474462654313832,113.2416,113.2416,113.2416,2022,8,11,3,398249.581366296
488867.04499023047,21.47045061989642,113.2096,113.2096,113.2096,2022,8,10,2,396469.7838287932
487877.8947525292,21.466683678428,113.1775,113.1775,113.1775,2022,8,9,1,393988.12449960975
486606.30121975404,21.462602372215315,113.0487,113.0487,113.0487,2022,8,5,4,392671.0311447357
485749.5035947232,21.459363490560172,113.0164,113.0164,113.0164,2022,8,4,3,393516.63276195835
485048.9021490617,21.456763217164916,112.9841,112.9841,112.9841,2022,8,3,2,392382.0868774338
482895.23345365503,21.448140581172133,112.9527,112.9527,112.9527,2022,8,2,1,391503.58059480117
481172.22680091375,21.441281789823595,112.92,112.92,112.92,2022,8,1,0,390628.6925055941
482332.8798067679,21.438155802635407,113.8206,113.8206,113.8206,2022,7,29,4,390043.78752270876
481846.79358430934,21.436431266245737,113.7874,113.7874,113.7874,2022,7,28,3,389945.7676386295
480505.1813841241,21.43113645692629,113.7554,113.7554,113.7554,2022,7,27,2,389215.9277658611
479685.6934517643,21.428005323085856,113.7232,113.7232,113.7232,2022,7,26,1,388674.6037401852
479039.3200819219,21.425595183475618,113.6906,113.6906,113.6906,2022,7,25,0,388392.5979298653
478320.42354783474,21.42344586969897,113.5935,113.5935,113.5935,2022,7,22,4,387826.544836374
476763.55355994863,21.417210217672846,113.5612,113.5612,113.5612,2022,7,21,3,387080.1156801393
476437.13900422375,21.416131389818002,113.5281,113.5281,113.5281,2022,7,20,2,386845.6869899935
475710.986075758,21.413365430642475,113.4958,113.4958,113.4958,2022,7,19,1,386782.8921912136
475053.72550291615,21.41088530496999,113.4635,113.4635,113.4635,2022,7,18,0,386264.227802485
474293.8407755998,21.408542977715406,113.366,113.366,113.366,2022,7,15,4,385527.03150916664
474006.7436447608,21.407620871940804,113.3333,113.3333,113.3333,2022,7,14,3,384840.2725030087
472694.29024680424,21.40236209602135,113.3008,113.3008,113.3008,2022,7,13,2,383595.8137586488
472375.5975712547,21.401301746718886,113.2681,113.2681,113.2681,2022,7,12,1,383188.54568525404
471140.8056446183,21.396353769515404,113.2356,113.2356,113.2356,2022,7,11,0,382837.89238357794
470231.2611348803,21.393361348580576,113.1369,113.1369,113.1369,2022,7,8,4,381753.11419243197
470313.39030373143,21.394290483883733,113.0713,113.0713,113.0713,2022,7,6,2,382970.7374486725
469452.2174900231,21.390912437215096,113.0388,113.0388,113.0388,2022,7,5,1,382463.93349027046
468003.5239850871,21.385022016124147,113.0059,113.0059,113.0059,2022,7,4,0,382199.8606262174
467263.416127595,21.382728191395717,112.9075,112.9075,112.9075,2022,7,1,4,381789.10230302543
468822.8340443114,21.38086311802743,113.8745,113.8745,113.8745,2022,6,30,3,380542.3467282452
468346.95415959525,21.379120291529592,113.8417,113.8417,113.8417,2022,6,29,2,379317.5291926409
467610.22433042456,21.376233228681,113.8119,113.8119,113.8119,2022,6,28,1,378852.43621773104
466707.7132499312,21.372660628080283,113.7788,113.7788,113.7788,2022,6,27,0,377933.8203941399
466311.0526163732,21.37182732594221,113.6802,113.6802,113.6802,2022,6,24,4,376958.98313979735
466188.84639119153,21.3715933077865,113.6472,113.6472,113.6472,2022,6,23,3,376842.5280850079
466239.8641674047,21.37209881200207,113.6146,113.6146,113.6146,2022,6,22,2,375938.87608604674
465341.83769957756,21.368529022458144,113.5821,113.5821,113.5821,2022,6,21,1,375588.6376831307
465884.0860201065,21.371145742925524,113.5495,113.5495,113.5495,2022,6,20,0,375353.19608985615
465076.3004548931,21.36853339856152,113.452,113.452,113.452,2022,6,17,4,373445.9258851808
464507.76730800746,21.366374728533117,113.4194,113.4194,113.4194,2022,6,16,3,372955.021421565
464575.85242420854,21.366963536113584,113.3859,113.3859,113.3859,2022,6,15,2,372220.90072236676
463838.17369341216,21.36407239154799,113.3533,113.3533,113.3533,2022,6,14,1,370712.54534504225
463068.41539625655,21.36103781667837,113.3208,113.3208,113.3208,2022,6,13,0,370411.5900587075
461890.72003443626,21.356810895827813,113.2227,113.2227,113.2227,2022,6,10,4,369494.7221637408
461408.04217123264,21.355012134547184,113.1896,113.1896,113.1896,2022,6,9,3,368187.4709354597
460828.3250944,21.352787972899364,113.1567,113.1567,113.1567,2022,6,8,2,366856.2102786322
460075.7836211334,21.349807552853363,113.1241,113.1241,113.1241,2022,6,7,1,366350.38785266766
459355.0317146858,21.346961039753392,113.0914,113.0914,113.0914,2022,6,6,0,367928.10759070853
458562.7359279862,21.344379611618862,112.9929,112.9929,112.9929,2022,6,3,4,366476.0153088603
456208.81166618207,21.3343861254695,112.9591,112.9591,112.9591,2022,6,2,3,365604.9366430109
455115.0222400706,21.32986767150196,112.9272,112.9272,112.9272,2022,6,1,2,365000.4485115737
456275.5973303306,21.326436886801734,113.8939,113.8939,113.8939,2022,5,31,1,364635.6646262814
454457.6000255249,21.318742901072323,113.8608,113.8608,113.8608,2022,5,30,0,364031.4716247072
453807.55961647443,21.316766583378705,113.7599,113.7599,113.7599,2022,5,27,4,363064.0514329255
453398.4962086994,21.31525593448425,113.7266,113.7266,113.7266,2022,5,26,3,362708.0186297237
453059.645126533,21.314055472576275,113.6931,113.6931,113.6931,2022,5,25,2,362379.0726391081
452337.5344896331,21.31115551725893,113.6601,113.6601,113.6601,2022,5,24,1,362164.10537129437
451085.0265561693,21.308336518469176,113.3506,113.3506,113.3506,2022,5,23,0,361536.53132346115
450413.9339995156,21.30623118081985,113.2518,113.2518,113.2518,2022,5,20,4,360587.42059122084
450003.3028725678,21.304697274850106,113.2189,113.2189,113.2189,2022,5,19,3,359996.113103225
450542.3242842896,21.307359501269605,113.1886,113.1886,113.1886,2022,5,18,2,359916.7064662601
449929.4170056899,21.304926502287227,113.1558,113.1558,113.1558,2022,5,17,1,359381.72325087705
448494.4307925685,21.29882813383095,113.1229,113.1229,113.1229,2022,5,16,0,353359.3889966418
447607.4020245197,21.295744459779407,113.0239,113.0239,113.0239,2022,5,13,4,352130.21227375534
446521.684231382,21.291177165633123,112.9911,112.9911,112.9911,2022,5,12,3,351348.7159301141
446040.23596193653,21.289313313557958,112.9579,112.9579,112.9579,2022,5,11,2,351505.18606536946
445280.36329279107,21.28619224645314,112.9253,112.9253,112.9253,2022,5,10,1,351127.36783091974
444380.88268281746,21.28245031691049,112.8912,112.8912,112.8912,2022,5,9,0,349784.56494358066
443333.05873988237,21.278581520964305,112.795,112.795,112.795,2022,5,6,4,349219.40690140636
441415.371952858,21.270271788929882,112.7543,112.7543,112.7543,2022,5,5,3,350100.20566514955
440720.2809315677,21.267982565440516,112.6571,112.6571,112.6571,2022,5,2,0,349739.89221304166
441903.1451437747,21.265383123935166,113.5575,113.5575,113.5575,2022,4,29,4,348937.6573040233
441278.7160705578,21.26284262626244,113.5248,113.5248,113.5248,2022,4,28,3,348424.263443937
439116.3127840846,21.25709281992995,113.0631,113.0631,113.0631,2022,4,27,2,347882.7115157492
438371.0782834447,21.254285733728913,112.9964,112.9964,112.9964,2022,4,25,0,347352.62843715464
437263.81447660405,21.250075963911325,112.9006,112.9006,112.9006,2022,4,22,4,346586.6334607698
437024.2596308585,21.249296903737154,112.8648,112.8648,112.8648,2022,4,21,3,345533.9232341595
436505.74281328765,21.247221480465825,112.8311,112.8311,112.8311,2022,4,20,2,344612.61224194913
435529.2692775883,21.2430395538416,112.7976,112.7976,112.7976,2022,4,19,1,343833.9835244911
434056.7273722295,21.23776402700147,112.6287,112.6287,112.6287,2022,4,14,3,343458.41269532184
433184.1419514223,21.234028935669752,112.5961,112.5961,112.5961,2022,4,13,2,342872.17556905956
433083.5395405025,21.233859010433928,112.563,112.563,112.563,2022,4,12,1,342653.37302822515
432003.3057597592,21.22915417856532,112.5303,112.5303,112.5303,2022,4,11,0,341701.7388638372
431079.6714686741,21.225749638542087,112.4318,112.4318,112.4318,2022,4,8,4,341050.01950237446
430047.4447929438,21.221540371391963,112.366,112.366,112.366,2022,4,6,2,340395.23188509856
429312.5446105669,21.218413548421836,112.333,112.333,112.333,2022,4,5,1,338780.47249609884
425849.4129422043,21.202495994179298,112.3014,112.3014,112.3014,2022,4,4,0,338114.71818199515
423278.7720426102,21.191286074796178,112.2004,112.2004,112.2004,2022,4,1,4,339798.16820767295
424437.1350670674,21.18817725140208,113.1666,113.1666,113.1666,2022,3,31,3,339498.13065096544
423317.7187233249,21.18319304274458,113.1329,113.1329,113.1329,2022,3,30,2,339029.6365551543
421990.55885629717,21.177207658357386,113.0996,113.0996,113.0996,2022,3,29,1,336920.50736918644
421206.2495088718,21.173786314549684,113.0657,113.0657,113.0657,2022,3,28,0,336219.2045701881
419825.153249314,21.168117155961067,112.9641,112.9641,112.9641,2022,3,25,4,336671.02441007603
418380.20336853893,21.161528303784657,112.9295,112.9295,112.9295,2022,3,24,3,336481.6079953108
417047.0909738491,21.15957521495497,112.4303,112.4303,112.4303,2022,3,23,2,336171.6187437155
416326.81713281455,21.156431528835025,112.3951,112.3951,112.3951,2022,3,22,1,335582.33188488934
421973.86616849864,21.18372916479441,112.3555,112.3555,112.3555,2022,3,21,0,334890.4253802429
420560.0554086895,21.17793015469636,112.253,112.253,112.253,2022,3,18,4,334805.506640079
419283.93791967514,21.172159227096547,112.2185,112.2185,112.2185,2022,3,17,3,333919.8775896248
418673.30982943013,21.16954229807181,112.1851,112.1851,112.1851,2022,3,16,2,333343.8723828893
418107.3032495845,21.16713532779314,112.1516,112.1516,112.1516,2022,3,15,1,332435.7711155194
416765.538441088,21.161005044515132,112.1181,112.1181,112.1181,2022,3,14,0,331473.02228820976
414648.3523658571,21.151716736175512,112.0175,112.0175,112.0175,2022,3,11,4,329958.2945999539
421868.42078802246,21.19018957950028,111.5762,111.5762,111.5762,2022,3,10,3,329404.6150102788
421963.27882363176,21.190944179952083,111.5422,111.5422,111.5422,2022,3,9,2,329238.26275803667
420291.65059296624,21.18330256731223,111.509,111.509,111.509,2022,3,8,1,328246.5639754208
419340.6480382745,21.17907247795282,111.4755,111.4755,111.4755,2022,3,7,0,327876.13161441014
418731.1746222987,21.177069126974782,111.3746,111.3746,111.3746,2022,3,4,4,326382.37306031096
417831.2158152739,21.173051882564994,111.3428,111.3428,111.3428,2022,3,3,3,325831.38522220356
416460.3661342577,21.166791978186275,111.308,111.308,111.308,2022,3,2,2,326964.2880999544
414469.4239879825,21.157517747834277,111.2735,111.2735,111.2735,2022,3,1,1,326561.31062762166
414550.7213799296,21.150083484152624,112.1478,112.1478,112.1478,2022,2,28,0,326137.7766794427
413445.7059109334,21.145664338680895,112.0448,112.0448,112.0448,2022,2,25,4,325834.6154032441
412416.3833618762,21.140982003019378,112.0108,112.0108,112.0108,2022,2,24,3,325579.83429598337
410883.7713995163,21.13785258013258,111.5283,111.5283,111.5283,2022,2,23,2,325048.1203443269
409995.32741504506,21.13383430703561,111.4937,111.4937,111.4937,2022,2,22,1,324072.89497849095
408724.4255560218,21.127941953028877,111.4583,111.4583,111.4583,2022,2,21,0,323689.72660711675
407614.430857655,21.123444905130317,111.3534,111.3534,111.3534,2022,2,18,4,323080.210527974
406993.57367749675,21.120700125762312,111.3196,111.3196,111.3196,2022,2,17,3,323194.14668281045
406489.6508410639,21.118527978725353,111.2856,111.2856,111.2856,2022,2,16,2,322722.3229116635
403779.4405091101,21.105452351705953,111.2518,111.2518,111.2518,2022,2,15,1,322172.93276740366
403163.1462977984,21.10270811674544,111.2172,111.2172,111.2172,2022,2,14,0,321622.9144726787
402613.4370772292,21.100882341381975,111.1168,111.1168,111.1168,2022,2,11,4,321522.953114004
401641.9869710337,21.09635883957266,111.0826,111.0826,111.0826,2022,2,10,3,320681.389652705
400988.7928162457,21.09341338528488,111.0482,111.0482,111.0482,2022,2,9,2,319504.8276132929
400040.6400197485,21.088988653764396,111.0138,111.0138,111.0138,2022,2,8,1,331473.02228820976
399912.4686596056,21.088662794149197,110.9788,110.9788,110.9788,2022,2,7,0,318885.7942835648
398249.581366296,21.08126289666178,110.8752,110.8752,110.8752,2022,2,4,4,317478.56850478903
396469.7838287932,21.072617809309317,110.8405,110.8405,110.8405,2022,2,3,3,317037.4269263962
393988.12449960975,21.06036653655053,110.8065,110.8065,110.8065,2022,2,2,2,316682.56654369214
392671.0311447357,21.053984639001936,110.7716,110.7716,110.7716,2022,2,1,1,315418.82505156536
393516.63276195835,21.04964280363101,111.7333,111.7333,111.7333,2022,1,31,0,314028.4531305245
392382.0868774338,21.044811016160377,111.628,111.628,111.628,2022,1,28,4,315470.50664599374
391503.58059480117,21.0406425435331,111.5929,111.5929,111.5929,2022,1,27,3,315211.8562024595
390628.6925055941,21.03648726373084,111.5573,111.5573,111.5573,2022,1,26,2,314795.2677223405
390043.78752270876,21.03380706274843,111.522,111.522,111.522,2022,1,25,1,314195.427729399
389945.7676386295,21.03362869254054,111.4858,111.4858,111.4858,2022,1,24,0,314419.4072717045
389215.9277658611,21.030820911026865,111.3812,111.3812,111.3812,2022,1,21,4,314071.3038581844
388674.6037401852,21.028343699333682,111.347,111.347,111.347,2022,1,20,3,313562.47914772906
388392.5979298653,21.027198983204098,111.3129,111.3129,111.3129,2022,1,19,2,312878.65407815855
387826.544836374,21.02459017123136,111.2786,111.2786,111.2786,2022,1,18,1,311786.79355288605
387080.1156801393,21.021045363598983,111.2443,111.2443,111.2443,2022,1,17,0,311101.0301455622
386845.6869899935,21.02076592868669,111.1406,111.1406,111.1406,2022,1,14,4,310145.1913683332
386782.8921912136,21.020751662811392,111.1061,111.1061,111.1061,2022,1,13,3,309657.30565387924
386264.227802485,21.01868881103645,111.0372,111.0372,111.0372,2022,1,11,1,309201.00003958587
385527.03150916664,21.015179630117302,111.0026,111.0026,111.0026,2022,1,10,0,308981.95096513326
384840.2725030087,21.01255227935067,110.8985,110.8985,110.8985,2022,1,7,4,308271.58622769633
383595.8137586488,21.006405730808375,110.8617,110.8617,110.8617,2022,1,6,3,307352.51143597317
383188.54568525404,21.00459551025603,110.8269,110.8269,110.8269,2022,1,5,2,307040.71835733776
382837.89238357794,21.00308786631337,110.791,110.791,110.791,2022,1,4,1,306188.7290540591
381753.11419243197,20.997720728271748,110.7569,110.7569,110.7569,2022,1,3,0,305680.27398366743
382970.7374486725,20.996040837117498,111.652,111.652,111.652,2021,12,31,4,306362.8660460174
382463.93349027046,20.99370179348986,111.6175,111.6175,111.6175,2021,12,30,3,307379.2004748532
382199.8606262174,20.99264257583373,111.5815,111.5815,111.5815,2021,12,29,2,306694.9697256706
381789.10230302543,20.99080166641255,111.547,111.547,111.547,2021,12,28,1,306101.75180924725
380542.3467282452,20.98802551184155,111.1277,111.1277,111.1277,2021,12,27,0,304931.8349277753
379317.5291926409,20.982546173963446,111.0201,111.0201,111.0201,2021,12,24,4,304409.9759069831
378852.43621773104,20.980416189923726,110.9842,110.9842,110.9842,2021,12,23,3,304205.14128848974
377933.8203941399,20.97588555647059,110.9482,110.9482,110.9482,2021,12,22,2,303737.9791941403
376958.98313979735,20.971045664169477,110.9121,110.9121,110.9121,2021,12,21,1,303406.811492936
376842.5280850079,20.970733392294914,110.8782,110.8782,110.8782,2021,12,20,0,302993.1885181579
375938.87608604674,20.966871591298695,110.774,110.774,110.774,2021,12,17,4,302038.9474493646
375588.6376831307,20.965326472810908,110.7387,110.7387,110.7387,2021,12,16,3,301438.412014826
375353.19608985615,20.96439559629317,110.7029,110.7029,110.7029,2021,12,15,2,301331.4554759758
373445.9258851808,20.95451163504804,110.6692,110.6692,110.6692,2021,12,14,1,299107.1592087859
